open;high;low;close;volume;marketCap;timestamp
1.2851234012;1.3258150687;1.1378048659;1.1396859219;1347198.15;17423434.04;"2022-02-14T00:00:00.000Z"
1.1395808125;1.332612615;0.9838041202;1.0383566127;1561759.47;15874319.06;"2022-02-21T00:00:00.000Z"
1.0383965222;1.2591772002;1.0010609145;1.1392435968;2640060.44;17416671.81;"2022-02-28T00:00:00.000Z"
1.1398075439;1.1504964098;1.0425853018;1.0464163686;1532812.2;15997536.01;"2022-03-07T00:00:00.000Z"
1.046718413;1.1704197422;1.0206017547;1.0768568727;1204386.01;16462908.19;"2022-03-14T00:00:00.000Z"
1.0770141585;1.3390474976;1.0718880658;1.2616990129;1511611.33;19288761.15;"2022-03-21T00:00:00.000Z"
1.2617618514;1.3418483732;1.1614726345;1.2616033981;435747.28;19287299.4;"2022-03-28T00:00:00.000Z"
1.2614895579;1.3055214808;1.1341067347;1.2342534738;401887.61;18869175.78;"2022-04-04T00:00:00.000Z"
1.2346521119;1.4450066047;1.1327101213;1.3052488771;917833.81;19954548.25;"2022-04-11T00:00:00.000Z"
1.3053761724;1.3123130003;1.0554017684;1.0597975346;877939.78;16202106.29;"2022-04-18T00:00:00.000Z"
1.0598170858;1.0603359466;0.9119240702;0.9257170111;1150546.04;14152293.17;"2022-04-25T00:00:00.000Z"
0.9252261011;1.0578195922;0.8058574357;0.8798261351;1478470.93;13450716.85;"2022-05-02T00:00:00.000Z"
0.8791099829;0.880150042;0.5088821472;0.5688121214;464576.24;8695957.63;"2022-05-09T00:00:00.000Z"
0.5685362198;0.5699292859;0.5077996528;0.5293109522;263930.23;8092066.67;"2022-05-16T00:00:00.000Z"
0.5293386668;0.5319473717;0.4374449469;0.4631503675;573929.33;7080608.55;"2022-05-23T00:00:00.000Z"
0.4631963519;0.4988960929;0.4477085918;0.4749084857;460178.04;7260365.79;"2022-05-30T00:00:00.000Z"
0.4748349526;0.4844446335;0.3938862588;0.4087961072;342600.95;6249644.64;"2022-06-06T00:00:00.000Z"
0.4084515488;0.4092368081;0.287591777;0.3335889327;316972.98;5099882.92;"2022-06-13T00:00:00.000Z"
0.3335700697;0.3956069182;0.3133256309;0.3735187148;222120.83;5710326.48;"2022-06-20T00:00:00.000Z"
0.3734673398;0.3753448039;0.3072333804;0.3270223166;182461.91;4999492.98;"2022-06-27T00:00:00.000Z"
0.3270672035;0.3851106781;0.3258487424;0.3619289594;241348.43;5533143.15;"2022-07-04T00:00:00.000Z"
0.3619147761;0.388925696;0.3155103601;0.3827154731;254098.49;5850925.84;"2022-07-11T00:00:00.000Z"
0.3827215235;0.4630380186;0.3823793971;0.4271488595;555221.25;6530220.16;"2022-07-18T00:00:00.000Z"
0.4268438247;0.4311204443;0.358965556;0.4175167956;224883.57;6382965.88;"2022-07-25T00:00:00.000Z"
0.4178222187;0.4295888547;0.3791913117;0.3912948491;605261.45;5982086.7;"2022-08-01T00:00:00.000Z"
0.3912245336;0.4280872764;0.3767925131;0.3930286081;585880.67;6008592.28;"2022-08-08T00:00:00.000Z"
0.3931748996;0.402785735;0.3531860677;0.3537966914;581970.4;5408817.64;"2022-08-15T00:00:00.000Z"
0.3537888568;0.354863601;0.2889776635;0.2963602706;553928.02;4530733.89;"2022-08-22T00:00:00.000Z"
0.296476267;0.3183693735;0.2873407605;0.3091596007;443644.76;4726409.1;"2022-08-29T00:00:00.000Z"
0.3089728831;0.3344649003;0.2982150793;0.3248426784;514542.29;4966170.83;"2022-09-05T00:00:00.000Z"
0.3249318987;0.3322497747;0.2738701427;0.2809141457;479534.95;4294594.68;"2022-09-12T00:00:00.000Z"
0.2810310721;0.3689014787;0.2444997387;0.3086893401;546523.07;8474252.75;"2022-09-19T00:00:00.000Z"
0.3087113969;0.3493440709;0.2918117712;0.3129280391;883651.4;8590615.07;"2022-09-26T00:00:00.000Z"
